Year,Month,Day,Achnanthes species,Actinoptychus senarius,Actinoptychus species,Actinoptychus splendens,Amphora species,Asterionellopsis glacialis,Asterionellopsis kariana,Asterolampra marylandica,Asteromphalus heptactis,Asteromphalus hookeri,Asteromphalus species,Aulacodiscus species,Aulacoscira granulata,Bacteriastrum delicatulum,Bacteriastrum elongatum,Bacteriastrum furcatum,Bacteriastrum solitarium,Bacteriastrum species,Biddulphia biddulphiana,Biddulphia sp. 1,Biddulphia sp. 2,Biddulphia species,Cerataulina pelagica,Cerataulina species,Cerataulus species,Chaetoceros aequatorialis,Chaetoceros affinis,Chaetoceros atlanticus,Chaetoceros borealis,Chaetoceros cinctus,Chaetoceros compressus,Chaetoceros concavicornis,Chaetoceros constrictus,Chaetoceros contortus,Chaetoceros convolutus,Chaetoceros costatus,Chaetoceros criophilus,Chaetoceros curvisetus,Chaetoceros danicus,Chaetoceros debilis,Chaetoceros decipiens,Chaetoceros densus,Chaetoceros diadema,Chaetoceros didymus,Chaetoceros difficilis,Chaetoceros eibenii,Chaetoceros furcellatus,Chaetoceros gracilis,Chaetoceros holsaticus,Chaetoceros laciniosus,Chaetoceros lorenzianus,Chaetoceros messanensis,Chaetoceros pelagicus,Chaetoceros peruvianus,Chaetoceros pseudocrinitus,Chaetoceros radicans,Chaetoceros similis,Chaetoceros simplex,Chaetoceros socialis,Chaetoceros sp. 1,Chaetoceros species,Chaetoceros teres ,Chaetoceros vanheurckii,Climacosphenia elongata,Climacosphenia species,Cocconeis costata,Cocconeis scutellum,Cocconeis species,Corethron criophilum,Coscinodiscus centralis,Coscinodiscus granii,Coscinodiscus radiatus,Coscinodiscus sp. 1,Coscinodiscus species,Cylindrotheca closterium,Dactyliosolen antarcticus,Dactyliosolen fragilissimus,Dactyliosolen species,Dactyliosolen tenuijunctus,Detonula pumila,Ditylum brightwellii,Ditylum species,Eucampia zodiacus,Eunotia species,Eupodiscus sp. 1,Fragilaria islandica,Fragilaria species,Fragilaria striatula,Fragilariopsis doliolus,Grammatophora marina,Grammatophora species,Guinardia delicatula,Guinardia flaccida,Guinardia striata,Helicotheca tamesis,Hemiaulus hauckii,Hemiaulus sinensis ,Hemiaulus sp. 1,Hemiaulus species,Isthmia nervosa,Isthmia species,Lauderia annulata,Leptocylindrus danicus,Leptocylindrus mediterraneus,Leptocylindrus minimus,Licmophora abbreviata,Licmophora species,Lithodesmium undulatum,Melosira arctica,Melosira dubia,Melosira species,Meuniera membranacea,Navicula species,Neocalyptrella robusta,Nitzschia longissima,Odontella aurita,Odontella longicruris,Odontella mobiliensis,Paralia sulcata ,Planktoniella sol,Pleurosigma species,Proboscia alata,Proboscia indica,Psammodiscus nitidus,Pseudo-nitzschia australis,Pseudo-nitzschia delicatissima,Pseudosolenia calcar-avis,Rhabdonema adriaticum ,Rhabdonema arcuatum,Rhabdonema species,Rhizosolenia hebetata f. semispina,Rhizosolenia imbricata,Rhizosolenia setigera,Rhizosolenia sp. 1,Rhizosolenia sp. 2,Rhizosolenia species,Rhizosolenia styliformis,Skeletonema costatum,Stephanopyxis nipponica,Stephanopyxis palmeriana,Stephanopyxis species,Stephanopyxis turris,Striatella unipunctata,Surirella species,Thalassionema frauenfeldii,Thalassionema nitzschioides,Thalassiosira aestivalis,Thalassiosira anguste-lineata,Thalassiosira bioculata,Thalassiosira decipiens,Thalassiosira eccentrica,Thalassiosira gravida,Thalassiosira hyalina,Thalassiosira nordenskioeldii,Thalassiosira pacifica,Thalassiosira punctigera,Thalassiosira rotula,Thalassiosira sp. 1,Thalassiosira species,Thalassiosira subtilis,Thalassiothrix longissima,Thalassiothrix sp. 1,Thalassiothrix sp. 2,Thalassiothrix species,Triceratium species,Tropidoneis species
1934 ,10 ,7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 ,10 ,14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 ,100 ,,,300 ,,,,,,,,,,,,,,,,,,,,,200 ,,,,,,,,,,,,,,,,,,,,
1934 ,10 ,21 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 ,,,,,,,,200 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 ,10 ,28 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 ,,300 ,,,,,,100 ,,,,900 ,,,,,,,,,,,,,,,,,,,,,500 ,,,,,,,,,,,,,,,,,,,,
1934 ,11 ,4 ,,,,,,1700 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,,200 ,,,,,,,,,,,,100 ,,,,,,,,,,,,,,,,,,,,,,,,100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 ,,,,,,,,,,,,,,,,,,,,
1934 ,11 ,11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,,400 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 ,,,,,,,,100 ,,,,400 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 ,11 ,18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 ,,,,,,,,100 ,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,,,,,,,,,,,,,,,,,,,
1934 ,11 ,25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600 ,,500 ,,,,,,,,,,900 ,,,,,,,,,,,,,,,,,,,,,800 ,,,,,,,,,,,,,,,,,,,,
1934 ,12 ,2 ,,,,,,700 ,,,,,,,,,,,,,,,,,,,,,,,,,9800 ,,,,,,,6900 ,,,,,,,,,,,,,,,,,,1700 ,,,6700 ,,2300 ,,,,,,,,,,,,,100 ,,,500 ,,,800 ,,,,,,,,,,,,1100 ,,,,,,,,,,,,,,,,,,,,,300 ,,1100 ,,,,,,,,,,7100 ,,,,,,,,,,,,,,,,,,,,,2600 ,,,,,,,,,,,,,,,,,,,,
1934 ,12 ,9 ,,,,,,300 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000 ,,,4400 ,,3500 ,,,,,,,,,,,,,,,,200 ,,,100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,200 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800 ,,,,,,,,,,,,,,,,,,,,
1934 ,12 ,16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,,,,,,,,,,,,100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,,,,,,,,,,,,,,,,,,,
1934 ,12 ,23 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1934 ,12 ,30 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 ,1 ,7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,,,,,,,,,,,,,,,,,,,,,,,,200 ,,,,,,,,,,,,,,,,,,,,
1935 ,1 ,14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 ,1 ,21 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 ,,,,,,,,,,,,,100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 ,,,,800 ,,,,,,,,,,,,,,,,,,,,,800 ,,,,,,,,,,,,,,,,,,,,
1935 ,1 ,28 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000 ,,,,,700 ,,,,,,,,,,,,,,,,,,800 ,,,,,200 ,,,,,,,,,,,,,100 ,,,500 ,,,700 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 ,,600 ,,,,,,,,,,2700 ,,,,,,,,,,,,,,,,,,,,,7000 ,,,,,,,,,,,,,,,,,,,,
1935 ,2 ,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800 ,,,,,,,,,,,,,500 ,,,1900 ,,,1700 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,,,,,,,,,13100 ,,,,,,,,,,,,,,,,,,,,,6300 ,,,,,,,,,,,,,,,,,,,,
1935 ,2 ,11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700 ,,,,,,,,,,,,,100 ,,,,,,600 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,500 ,,,,,,100 ,,,,500 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 ,2 ,18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500 ,,,,,,,,,,,,,,,,,,,,,200 ,,,,,,,,,,,,,400 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,1400 ,,,,,,,100 ,,,1500 ,,,,,,,,,,,,,,,,,,,,,500 ,,,,,,,,,,,,,,,,,,,,
1935 ,2 ,25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000 ,,,,,,,,,,,,,,,,,,,,
1935 ,3 ,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2800 ,,,,,,,,,,,,,300 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 ,,200 ,,,,,,,,,,700 ,,,,,,,,,,,,,,,,,,,,,600 ,,,,,,,,,,,,,,,,,,,,
1935 ,3 ,11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800 ,,900 ,,,,,,,,,,,,,500 ,,,100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,,,,,,,,,,,,,,,,,,300 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 ,3 ,18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,800 ,,,,,,,,,,,,,,,,,,,,,,,300 ,,200 ,,,,,,,,,,,,,1100 ,,,,,,,,,,,,,,,,,,500 ,,,,,,,,,,,,,,1060 ,,,,,,,300 ,,,,,,,,100 ,,,,1400 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 ,3 ,25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400 ,,,,,,,,,,,,,,,,,,,,,,,,,1100 ,,,,,,,,,,,,,600 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 ,,,,,,,300 ,,,,,,,,200 ,,,,500 ,,,,,,,,,,,,,,,,,,,,,200 ,,,,,,,,,,,,,,,,100 ,,,,
1935 ,4 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700 ,,,,,,,,,,,,,,,,,,,,,,,,,1800 ,,,,,,,,,,,,,1000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 ,,,,,,,200 ,,,,,,,,,,,,100 ,,,,,,,,,,,,,6100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 ,4 ,8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100 ,,,,,13000 ,,,,,,,,,,,,,1100 ,,,,,,,,,,,,,,,,,,400 ,,100 ,,,,,,,,,,,,,,,,,,,300 ,,,,,,,,,,,,1500 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 ,4 ,15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,2049 ,,,,8900 ,,9400 ,,,1000 ,,,,5200 ,,,,,,,,,,2400 ,2000 ,,,,,15000 ,,,3000 ,,17200 ,,,,,,,,,,,,,1500 ,,,,,,,,,800 ,,,,,,,,,,,800 ,,,,,,,,,,,,900 ,,,,,,,500 ,,300 ,,,,,,,,,,700 ,,,,,,,,,,,,,1500 ,,,,,,,,200 ,,,,,,,,,,,,,,,,,,,,
1935 ,4 ,22 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34816 ,,1776 ,,,5150 ,,1833 ,,32066 ,,,,,,,,,,,2549 ,,,,,26456 ,,,14533 ,,44716 ,,,,,,,,,,,,,749 ,,,5150 ,,,1083 ,,,4200 ,,,,,,,,,2465 ,,8916 ,,,,,,,,,,,,133 ,,,,,,,616 ,,266 ,,,,,,16 ,116 ,,,2283 ,,,,,,,,,,,,,300 ,,,,,,,,,,,,,,,,,,,,,,,,1083 ,,,,
1935 ,4 ,29 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29400 ,,,,,,,,,1100 ,,,,,,,,,,100 ,,,,,,8900 ,,,2500 ,,32900 ,,,,,,,,,,,,,600 ,,,7600 ,,,,,,600 ,,,,,,,,,1300 ,,4900 ,,,,,,,,,,,,100 ,,,,,,,200 ,,200 ,,,,,,100 ,100 ,,,600 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 ,,,,
1935 ,5 ,6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 ,,,,,,,,,,,,,,,1300 ,,100 ,,,,,,,,,,,,100 ,,,,,,,300 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 ,5 ,13 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 ,5 ,20 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 ,,,,,,,,,100 ,,,,,,100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 ,5 ,27 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 ,,,,,,,,,,,,,,,,,,,,,,,100 ,,,,,,,,,,200 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,,,
1935 ,6 ,3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 ,,,,,,,,,,,,,200 ,,,,,,,,,,,,,,,,,,500 ,,,,,,,,,,,,,,200 ,,,,,,,400 ,,,,,,,,300 ,,,,600 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 ,6 ,10 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,,,,,400 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,,,
1935 ,6 ,17 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 ,,,,,,,,,,,,,,,,,,,,100 ,,,,,,,,,,,,,,,,,,,600 ,,300 ,,,,,,260 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 ,6 ,24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 ,,,,,,,800 ,,,,,,,,,,,,100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 ,7 ,1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900 ,,,,,,,500 ,,,,,,,,,,,,,,,,,,,,,,,3300 ,,,,,,,,,,,,,,,,,,,,,,1000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000 ,,200 ,,,,,,400 ,,,,900 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 ,,,,
1935 ,7 ,8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,900 ,,,,3888 ,,280 ,,,,,3076 ,,,,,,,,,,,,1640 ,900 ,,,,,360 ,,,7860 ,,16960 ,,,,,,,,,,,,,40 ,,,,,,,,,6880 ,,,,,,,,,240 ,,,,,,,,,,,,,,100 ,,,,,,,700 ,,440 ,,,,,,140 ,40 ,,,9340 ,,,,,,,,,,,,,,,,,,,,,200 ,,,,,,,,,,,,,,,,620 ,,,,
1935 ,7 ,15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,1850 ,,,,15866 ,,2433 ,,,,,10566 ,,1333 ,,,,,,,,,,550 ,1516 ,,,,,566 ,,,36899 ,,18899 ,,,,,,,,,,,,,66 ,,,33 ,,,133 ,,,11133 ,,,,,,,,,716 ,,49 ,,,,,,,,,,,,100 ,,,,,,,600 ,,200 ,,,,,,83 ,149 ,,,4682 ,,,,,,,,,,,,,583 ,,,,,,,,116 ,,,,,,,,,,,,,,,,699 ,,,,
1935 ,7 ,22 ,,,,,,,,,,,,,,,,,,,,,,,,,,,233 ,,,,61133 ,,,,,,,1266 ,,,,,,,,,,,,,,,,,,,,,1233 ,,12200 ,,,,,,,,,,,,,66 ,,,66 ,,,,,,,,,,,,,,,83 ,,100 ,,,,,,,,,,,,100 ,,,,,,,199 ,,300 ,,,,,,33 ,116 ,,,66 ,,,,,,,,,,,,,,,,,,,,,66 ,,,,,,,,,,,,,,,,83 ,,,,
1935 ,7 ,29 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13500 ,,,,,,,,,,,,,,,,,,,133 ,,,,,,266 ,,,1900 ,,54733 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66 ,,,,,,,333 ,,133 ,,,,,,100 ,,,,333 ,,,,,,,,,,,,,100 ,,,,,,,,33 ,,,,,,,,,,,,,,,,,,,,
1935 ,8 ,5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5400 ,,,,,,,,,,,,,,,,,,,,,,,300 ,,,,,,,,,,,,,,,200 ,100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 ,8 ,12 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6200 ,,,,,,,1200 ,,3440 ,,,,,,,,,,,,,,,,,,,,,49800 ,,,,,,,,,,,,,100 ,,,,,,,,,7600 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 ,,300 ,,,,,,200 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 ,8 ,19 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,,,,,,,100 ,,,,,,,,,,,,,,,,,,,,,,,,,300 ,,,,,,,,,,,,,,,,,,,,
1935 ,8 ,26 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 ,,,,,,,900 ,,2300 ,,,,,,,,,,,,,,,,,,,,,1400 ,,,,,,,,,,,,,200 ,,,200 ,,,,,,600 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900 ,,1100 ,,,,,,200 ,,,,400 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 ,9 ,2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 ,,,,,,,,,,,,,,,,,,,,,100 ,,,,,,,,,,,,,,,,,,,,
1935 ,9 ,9 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 ,,100 ,,,,,,200 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 ,9 ,16 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 ,,,,,,,,,,,400 ,,,,,,,,,,200 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 ,,,,,,,,100 ,,,,100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 ,9 ,23 ,,,,,,,,,,,,,,,,,,,,,,,,,,,1700 ,,,,4300 ,,,,,,,1900 ,,300 ,,,,,,,,,,400 ,,,,,,1200 ,,,5000 ,,4000 ,,,,,,,,,,,,,1100 ,,,1500 ,,,,,,,,,,,,,,,3900 ,,1300 ,,,,,,,,,,,,300 ,,,,,,,,,300 ,,,,,,,,,,8700 ,,,,,,,,,,,,,400 ,,,,,,,,,,,,,,,,,,,,,,,,400 ,,,,
1935 ,9 ,30 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1300 ,,,,,,,,,,,,,,,,,,,,,1100 ,,,,,,,,,,,,,,,,,,1100 ,,,,,,,,,,,,,,,,,600 ,,,,,,,,,,,,,,,,,,,400 ,,,,,,,,100 ,,,,600 ,,,,,,,,1100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,,,
1935 ,10 ,7 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1100 ,,,200 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 ,,,,,,,,100 ,,,,200 ,,,,,,,,100 ,,,,,,,,,,,,,100 ,,,,,,,,,,,,,,,,,,,,
1935 ,10 ,14 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,100 ,,,,,,100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 ,10 ,21 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,,,,,,100 ,,100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,,,,,,,,,,,,,,,,,,,
1935 ,10 ,28 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50200 ,,5000 ,,,,,,,,,,,,,,,,,,,14700 ,,700 ,,,,,,,,,,,,,400 ,,,,,,,,,400 ,,,,,,,,,,,,,,,,,,,,,,,200 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 ,,,,,,,,,,,,,,,,,,,,
1935 ,11 ,4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 ,,,,,,,100 ,,100 ,,,,,,,,,,1200 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1935 ,11 ,11 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,200 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 ,,,,,,,,,,,,,,,,,,,,
1935 ,11 ,18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
